ANIMAL;TIMESLOT;TIME REMAINING
AS;1.EM;10800
AS;2.LM;10800
AS;3.EA;10800
AS;4.LA;10800
BI;1.EM;10800
BI;2.LM;10800
BI;3.EA;10800
BI;4.LA;10800
FA;1.EM;10800
FA;2.LM;10800
FA;3.EA;10800
FA;4.LA;10800
HA;1.EM;10800
HA;2.LM;10800
HA;3.EA;10800
HA;4.LA;10800
KA;1.EM;10800
KA;2.LM;10800
KA;3.EA;10800
KA;4.LA;10800
KE;1.EM;10800
KE;2.LM;10800
KE;3.EA;10800
KE;4.LA;10800
MU;1.EM;10800
MU;2.LM;10800
MU;3.EA;10800
MU;4.LA;10800
NO;1.EM;10800
NO;2.LM;10800
NO;3.EA;10800
NO;4.LA;10800
SA;1.EM;10800
SA;2.LM;10800
SA;3.EA;10800
SA;4.LA;10800
SG;1.EM;10800
SG;2.LM;10800
SG;3.EA;10800
SG;4.LA;10800
SW;1.EM;10800
SW;2.LM;10800
SW;3.EA;10800
SW;4.LA;10800
TA;1.EM;10800
TA;2.LM;10800
TA;3.EA;10800
TA;4.LA;10800
TU;1.EM;10800
TU;2.LM;10800
TU;3.EA;10800
TU;4.LA;10800
