ANIMAL;TIMESLOT;TIME REMAINING
KE;EM;11076
KE;LM;11076
KE;EA;11076
KE;LA;11076
FA;EM;11076
FA;LM;11076
FA;EA;11076
FA;LA;11076
MU;EM;11076
MU;LM;11076
MU;EA;11076
MU;LA;11076
NO;EM;11076
NO;LM;11076
NO;EA;11076
NO;LA;11076
SW;EM;11076
SW;LM;11076
SW;EA;11076
SW;LA;11076
SG;EM;11076
SG;LM;11076
SG;EA;11076
SG;LA;11076
SA;EM;11076
SA;LM;11076
SA;EA;11076
SA;LA;11076
HA;EM;11076
HA;LM;11076
HA;EA;11076
HA;LA;11076
BI;EM;11076
BI;LM;11076
BI;EA;11076
BI;LA;11076
KA;EM;11076
KA;LM;11076
KA;EA;11076
KA;LA;11076
TU;EM;11076
TU;LM;11076
TU;EA;11076
TU;LA;11076
AS;EM;11076
AS;LM;11076
AS;EA;11076
AS;LA;11076
TA;EM;11076
TA;LM;11076
TA;EA;11076
TA;LA;11076
