ANIMAL;TIMESLOT;TIME REMAINING
BR;EM;11076
BR;LM;11076
BR;EA;11076
BR;LA;11076
M8;EM;11076
M8;LM;11076
M8;EA;11076
M8;LA;11076
BA;EM;11076
BA;LM;11076
BA;EA;11076
BA;LA;11076
LU;EM;11076
LU;LM;11076
LU;EA;11076
LU;LA;11076
BIC;EM;11076
BIC;LM;11076
BIC;EA;11076
BIC;LA;11076
BO;EM;11076
BO;LM;11076
BO;EA;11076
BO;LA;11076
RU;EM;11076
RU;LM;11076
RU;EA;11076
RU;LA;11076
PI;EM;11076
PI;LM;11076
PI;EA;11076
PI;LA;11076
EP;EM;11076
EP;LM;11076
EP;EA;11076
EP;LA;11076
JO;EM;11076
JO;LM;11076
JO;EA;11076
JO;LA;11076
JE;EM;11076
JE;LM;11076
JE;EA;11076
JE;LA;11076
RE;EM;11076
RE;LM;11076
RE;EA;11076
RE;LA;11076
JAP;EM;11076
JAP;LM;11076
JAP;EA;11076
JAP;LA;11076
