ANIMAL;TIMESLOT;TIME REMAINING
HAS;EM;10285
HAS;LM;10285
HAS;EA;10285
HAS;LA;10285
FR;EM;10285
FR;LM;10285
FR;EA;10285
FR;LA;10285
ZA;EM;10285
ZA;LM;10285
ZA;EA;10285
ZA;LA;10285
JA;EM;10285
JA;LM;10285
JA;EA;10285
JA;LA;10285
FA2;EM;10285
FA2;LM;10285
FA2;EA;10285
FA2;LA;10285
TH;EM;10285
TH;LM;10285
TH;EA;10285
TH;LA;10285
KAM;EM;10285
KAM;LM;10285
KAM;EA;10285
KAM;LA;10285
KL;EM;10285
KL;LM;10285
KL;EA;10285
KL;LA;10285
KD;EM;10285
KD;LM;10285
KD;EA;10285
KD;LA;10285
FAM;EM;10285
FAM;LM;10285
FAM;EA;10285
FAM;LA;10285
FE;EM;10285
FE;LM;10285
FE;EA;10285
FE;LA;10285
KA2;EM;10285
KA2;LM;10285
KA2;EA;10285
KA2;LA;10285
SAL;EM;10285
SAL;LM;10285
SAL;EA;10285
SAL;LA;10285
FAD;EM;10285
FAD;LM;10285
FAD;EA;10285
FAD;LA;10285
